Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,1,180,1000
2,0,1,349,1000
3,0,1,516,1000
4,0,1,681,1000
5,0,1,845,1000
6,0,0,1000,1000
7,0,0,1000,1000
8,0,0,1000,1000
9,0,0,1000,1000
10,0,0,1000,1000
11,0,0,1000,1000
12,0,0,1000,1000
13,0,0,1000,1000
14,0,0,1000,1000
15,0,0,1000,1000
16,0,0,1000,1000
17,0,0,1000,1000
18,0,0,1000,1000
19,0,0,1000,1000
20,0,0,1000,1000
21,0,0,1000,1000
22,0,0,1000,1000
23,0,0,1000,1000
24,0,0,1000,1000
25,0,0,1000,1000
26,0,0,1000,1000
27,0,0,1000,1000
28,0,0,1000,1000
29,0,0,1000,1000
30,0,0,1000,1000
31,0,0,1000,1000
32,0,0,1000,1000
33,0,0,1000,1000
